Business Name,Phone,Website,Email,Address,Rating,Reviews,Category,Lead Type,Google Maps URL
Target,(415) 343-6272,https://www.target.com/sl/san-francisco-central/2766,,"789 Mission St, San Francisco, CA 94103",4,1386,Department store,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Target&query_place_id=ChIJ5y1zsoeAhYARJl9k0fuMdRs
Lucky Strike Clovis,(559) 298-6555,https://www.luckystrikeent.com/location/lucky-strike-clovis?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,,"140 Shaw Ave, Clovis, CA 93612",4.2,1335,Bowling alley,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Lucky%20Strike%20Clovis&query_place_id=ChIJ_-IyAXBclIARoCedObpkdAA
Diamond Association Management & Consulting,(210) 561-0606,http://www.damctx.com/,,"14603 Huebner Rd Building 40, San Antonio, TX 78230",4.5,1080,Homeowners' association,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Diamond%20Association%20Management%20%26%20Consulting&query_place_id=ChIJu0KDEPlmXIYRlJo22O8-fNI
AAA Hayward Branch,(510) 670-4380,https://mwg.aaa.com/agent-office-locations/ca/hayward/aaa-hayward-branch,,"1580 Chabot Ct, Hayward, CA 94545",4.4,964,Auto insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Hayward%20Branch&query_place_id=ChIJl4BC1EuRj4ARFtgnoFg9ffQ
The Marine Mammal Center,(415) 289-7325,https://www.marinemammalcenter.org/,,"2000 Bunker Rd, Sausalito, CA 94965",4.8,881,Animal hospital,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=The%20Marine%20Mammal%20Center&query_place_id=ChIJ1fG7f4uFhYARSjjuWmChK2M
"Liberty Management, Inc.",(210) 681-8080,https://www.libertymgt.net/,,"4801 Northwest Loop 410 #111, San Antonio, TX 78229",4.6,877,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Liberty%20Management%2C%20Inc.&query_place_id=ChIJKdq1K2NdXIYR7_btVLuYCyM
The View at TPC,(726) 227-3468,https://www.theviewattpc.com/?funnelleasing=onlinelisting&utm_source=gmb&utm_medium=organic,,"4092 TPC Pkwy, San Antonio, TX 78261",4.6,809,Apartment rental agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=The%20View%20at%20TPC&query_place_id=ChIJHaa0g9iIXIYRjPuaGhjEPwg
Red Wagon Properties,(210) 695-1100,https://redwagonproperties.com/?utm_source=gmb&utm_medium=link,,"16719 Huebner Rd # 1, San Antonio, TX 78248",4.2,755,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Red%20Wagon%20Properties&query_place_id=ChIJkfbCAIRhXIYRrvm8A6rhVAE
The Club at Ruby Hill,(925) 417-5840,https://www.rubyhill.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,,"3400 W Ruby Hill Dr, Pleasanton, CA 94566",4.5,725,Country club,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=The%20Club%20at%20Ruby%20Hill&query_place_id=ChIJz7aEV63Cj4AR886V8pfVEUQ
Peace of Mind Property Management,(888) 211-6743,http://www.peaceofmind.co/,,"1102 E Sonterra Blvd Ste. 101, San Antonio, TX 78258",4.7,710,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Peace%20of%20Mind%20Property%20Management&query_place_id=ChIJ5_sMAfmJXIYRBJ4XZlRqA0Q
Cypress at Stone Oak Apartments & Townhomes,(210) 762-4178,https://cypressatstoneoak.com/?utm_source=google&utm_medium=organic,,"24345 Wilderness Oak, San Antonio, TX 78258",4.1,635,Apartment rental agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Cypress%20at%20Stone%20Oak%20Apartments%20%26%20Townhomes&query_place_id=ChIJ4a85kRxiXIYRCiPjKCnp6mE
AAA Redding Branch,(530) 722-1600,https://mwg.aaa.com/agent-office-locations/ca/redding/aaa-redding-branch,,"943 Mission De Oro Dr, Redding, CA 96003",4.5,621,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Redding%20Branch&query_place_id=ChIJAarg9CmT0lQRshsh3GIuVXg
Sonterra Blue Apartments,(210) 940-1428,https://sonterrabluesanantonio.com/?utm_source=google&utm_medium=organic,,"922 E Sonterra Blvd, San Antonio, TX 78258",4.3,589,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Sonterra%20Blue%20Apartments&query_place_id=ChIJQxhCmv6JXIYR0C9-ani5Emg
Los Robles Apartments,(855) 444-6830,https://www.irtliving.com/Apartments-In/San-Antonio-TX/Los-Robles?switch_cls[id]=101750&utm_source=google&utm_medium=organic&utm_campaign=losrobles&utm_content=gmb-listing,,"20838 Blanco Rd, San Antonio, TX 78260",4.7,582,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Los%20Robles%20Apartments&query_place_id=ChIJ0al-ziJjXIYRh0l0LxmyjEo
Cathedral of Faith,(408) 267-4691,http://www.cathedraloffaith.org/,,"2315 Canoas Garden Ave, San Jose, CA 95125",4.7,581,Church,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Cathedral%20of%20Faith&query_place_id=ChIJ-SbjPwwzjoARsaAUQ5k18t0
Reserve at Canyon Creek Apartments - San Antonio,(855) 621-3773,https://reserveatcanyoncreek.com/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=googlebusiness,,"12235 Vance Jackson Rd, San Antonio, TX 78230",4.2,571,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Reserve%20at%20Canyon%20Creek%20Apartments%20-%20San%20Antonio&query_place_id=ChIJUaW9qitnXIYRveHiU_Jt0y8
Cortland Walker Ranch,(210) 796-2622,https://cortland.com/apartments/cortland-walker-ranch/?utm_source=gmb_site&utm_medium=organic,,"12803 West Ave, San Antonio, TX 78216",4.7,564,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Cortland%20Walker%20Ranch&query_place_id=ChIJdVCDLzJgXIYRkoZvyNfAvus
AAA Mountain View Branch,(650) 623-3200,https://mwg.aaa.com/agent-office-locations/ca/mountain-view/aaa-mountain-view-branch,,"900 Miramonte Ave, Mountain View, CA 94040",4.5,559,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Mountain%20View%20Branch&query_place_id=ChIJhxj60s2wj4ARfYJp5oWkskw
CloverLeaf Property Management,(210) 827-7777,http://www.cloverleafpropertymanagement.com/,,"8620 N New Braunfels Ave # 620, San Antonio, TX 78217",4.9,547,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=CloverLeaf%20Property%20Management&query_place_id=ChIJyUI2QFKTXIYRTBSNPBpHAN4
AAA Redwood City Branch,(650) 216-3100,https://mwg.aaa.com/agent-office-locations/ca/redwood-city/aaa-redwood-city-branch,,"510 Veterans Blvd Ste A, Redwood City, CA 94063",4.5,542,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Redwood%20City%20Branch&query_place_id=ChIJRa9OeE-ij4ARTNn8v48WUq0
AAA Manteca Branch,(209) 824-6100,https://mwg.aaa.com/agent-office-locations/ca/manteca/aaa-manteca-branch,,"190 Commerce Ave Suite 101, Manteca, CA 95336",4.3,542,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Manteca%20Branch&query_place_id=ChIJc1d-Y2pAkIARDgNEQWJEiC8
The Brackenridge,(830) 254-7719,https://www.thebrackenridge.com/?utm_knock=gmb,,"223 Brackenridge Ave, San Antonio, TX 78209",4.8,529,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=The%20Brackenridge&query_place_id=ChIJD2OmGpP1XIYRwsaUzE6bVBI
AAA Daly City Branch,(650) 301-1400,https://mwg.aaa.com/agent-office-locations/ca/daly-city/aaa-daly-city-branch,,"455 Hickey Blvd, Daly City, CA 94015",4.4,529,Auto insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Daly%20City%20Branch&query_place_id=ChIJ85fH7ep7j4AR9IHJZ20RTW8
AAA Las Vegas Rainbow Plaza Branch,(702) 436-8100,https://mwg.aaa.com/agent-office-locations/nv/las-vegas/aaa-las-vegas-rainbow-plaza-branch,,"937 S Rainbow Blvd Suite 1-B, Las Vegas, NV 89145",4.2,511,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Las%20Vegas%20Rainbow%20Plaza%20Branch&query_place_id=ChIJxyP5pPvAyIAREzlqt1H0QGg
AAA Natomas Branch,(916) 574-8700,https://mwg.aaa.com/agent-office-locations/ca/sacramento/aaa-natomas-branch,,"2701 Del Paso Rd # 100, Sacramento, CA 95835",4.5,505,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Natomas%20Branch&query_place_id=ChIJyZS2XN4pm4ARfCRcvgSSq50
FirstService Residential San Antonio,(210) 829-7202,https://www.fsresidential.com/texas/offices/san-antonio,,"3424 Paesanos Pkwy #100, Shavano Park, TX 78231",3.8,500,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=FirstService%20Residential%20San%20Antonio&query_place_id=ChIJNbUVkLdgXIYRdM1eY3Rs-8w
AAA San Jose Brokaw Commons Branch,(408) 436-7300,https://mwg.aaa.com/agent-office-locations/ca/san-jose/aaa-san-jose-brokaw-commons-branch,,"1035 E Brokaw Rd #10, San Jose, CA 95131",4.2,496,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20San%20Jose%20Brokaw%20Commons%20Branch&query_place_id=ChIJKQRq8wjMj4AR-5i-pytMkdg
AAA Sacramento University Village Branch,(916) 379-1300,https://mwg.aaa.com/agent-office-locations/ca/sacramento/aaa-sacramento-university-village-branch,,"2216 Fair Oaks Blvd, Sacramento, CA 95825",4.4,496,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Sacramento%20University%20Village%20Branch&query_place_id=ChIJL38kYajbmoARZd4lG1i28qo
Associa Hill Country,(210) 545-1888,https://www.associahillcountry.com/?utm_source=gmb&utm_medium=Yext&y_source=1_Mjc2NjU4NTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,"14100 San Pedro Ave #602, San Antonio, TX 78232",3.3,494,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Associa%20Hill%20Country&query_place_id=ChIJF6nlTAFiXIYR6hDll3Inyn4
AAA Las Vegas Aliante Parkway Branch,(702) 396-1350,https://mwg.aaa.com/agent-office-locations/nv/north-las-vegas/aaa-las-vegas-aliante-parkway-branch,,"6905 N Aliante Pkwy #101, North Las Vegas, NV 89084",4.3,481,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Las%20Vegas%20Aliante%20Parkway%20Branch&query_place_id=ChIJE5U7Q-DDyIAR93p-xAsXOpo
RealManage San Antonio,(866) 473-2573,https://realmanage.com/locations/texas/san-antonio/?utm_source=google&utm_medium=gmb&utm_campaign=local-seo&utm_term=san-antonio,,"613 Northwest Loop 410 # 530, San Antonio, TX 78216",4.4,470,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=RealManage%20San%20Antonio&query_place_id=ChIJgZO0yx1gXIYRxYY9L_e2fts
AAA Salinas Branch,(831) 771-4000,https://mwg.aaa.com/agent-office-locations/ca/salinas/aaa-salinas-branch,,"1019 Post Dr, Salinas, CA 93907",4.3,469,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Salinas%20Branch&query_place_id=ChIJlfxP_Cj_jYARpsGu_an8O_w
HomeRiver Group San Antonio,(210) 340-1717,https://www.homeriver.com/texas/san-antonio-property-management?utm_source=Google&utm_medium=GBP&utm_campaign=san+antonio,,"2141 NW Military Hwy, San Antonio, TX 78213",4.1,461,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=HomeRiver%20Group%20San%20Antonio&query_place_id=ChIJxUV8P2RgXIYRI6cus9M4Kvo
Lifetime HOA Management,(210) 504-8484,https://www.lifetimehoamanagement.com/,,"18585 Sigma Rd Suite 104, San Antonio, TX 78258",4.2,452,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Lifetime%20HOA%20Management&query_place_id=ChIJjfKTOHdiXIYRQHwzsDZhKtI
"St. Anthony of Padua, Fresno",(559) 439-0124,http://www.stanthonyfresno.org/,,"5770 N Maroa Ave, Fresno, CA 93704",4.6,452,Catholic church,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=St.%20Anthony%20of%20Padua%2C%20Fresno&query_place_id=ChIJsYyCvvpnlIAR-gH5vsh2WXo
AAA Reno Branch,(775) 326-2000,https://mwg.aaa.com/agent-office-locations/nv/reno/aaa-reno-branch,,"6795 S Virginia St Suite D, Reno, NV 89511",4.3,446,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Reno%20Branch&query_place_id=ChIJV4hLUvk_mYARE-ccldvGVvA
AAA Clovis Shaw Avenue Branch,(559) 323-3000,https://mwg.aaa.com/agent-office-locations/ca/clovis/aaa-clovis-shaw-avenue-branch,,"1595 Shaw Ave, Clovis, CA 93611",4.4,426,Auto insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Clovis%20Shaw%20Avenue%20Branch&query_place_id=ChIJ4buKZY5blIARtrJMeIcEbGU
MHN Property Management,(210) 402-9696,https://www.mhnproperties.com/,,"7300 Blanco Rd STE 202, San Antonio, TX 78216",4.4,422,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=MHN%20Property%20Management&query_place_id=ChIJb_XF-U9iXIYRymAfGsvaG60
Landsby,(650) 567-3353,https://livelandsby.com/?utm_source=gmb&utm_medium=organic,,"100 Aspen Way, Mountain View, CA 94040",3.9,411,Apartment rental agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Landsby&query_place_id=ChIJiw1Dq3Sxj4ARa7zYNWdZ4ug
AAA Fresno Fig Garden Village Branch,(559) 241-6800,https://mwg.aaa.com/agent-office-locations/ca/fresno/aaa-fresno-fig-garden-village-branch,,"632 W Shaw Ave Suite 60, Fresno, CA 93704",4.5,405,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Fresno%20Fig%20Garden%20Village%20Branch&query_place_id=ChIJZ3_bqpNnlIARq7hHNVQgmFI
AAA San Francisco Potrero Center Branch,(415) 553-7200,https://mwg.aaa.com/agent-office-locations/ca/san-francisco/aaa-san-francisco-potrero-center-branch,,"2300 16th St #280, San Francisco, CA 94103",4.3,389,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20San%20Francisco%20Potrero%20Center%20Branch&query_place_id=ChIJzfPxyi9-j4ARFJ4JdEbQjC4
AAA Alameda Branch,(510) 336-7100,https://mwg.aaa.com/agent-office-locations/ca/alameda/aaa-alameda-branch,,"2650 5th St Building F, Suite H, Alameda, CA 94501",4.4,381,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Alameda%20Branch&query_place_id=ChIJPalNz5CHj4ARYuwIaOXT0vM
AAA Vacaville Branch,(707) 451-7150,https://mwg.aaa.com/agent-office-locations/ca/vacaville/aaa-vacaville-branch,,"1633 E Monte Vista Ave Suite 101, Bldg M, Vacaville, CA 95688",4.4,380,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Vacaville%20Branch&query_place_id=ChIJ72sxQVE9hYARIcPJW5ZLBEY
Hendricks Property Management,(210) 344-3463,http://www.sarents.com/,,"2227 Lockhill Selma Rd, San Antonio, TX 78230",4.5,376,Property management company,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Hendricks%20Property%20Management&query_place_id=ChIJfY5qlPVgXIYRbMuOPHYKftg
eaves Walnut Creek,(925) 956-4703,https://www.avaloncommunities.com/california/walnut-creek-apartments/eaves-walnut-creek?utm_source=gmb&utm_medium=organic&utm_campaign=gmblist,,"1445 Treat Blvd, Walnut Creek, CA 94597",4.4,367,Apartment rental agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=eaves%20Walnut%20Creek&query_place_id=ChIJ0STf0whhhYARSP8uSfvFHOQ
AAA Dublin Branch,(925) 479-7840,https://mwg.aaa.com/agent-office-locations/ca/dublin/aaa-dublin-branch,,"4460 Tassajara Rd Ste B, Dublin, CA 94568",4.3,366,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Dublin%20Branch&query_place_id=ChIJwbafhDTpj4ARhr5Cewdb6ZM
AAA Eureka Branch,(707) 444-1000,https://mwg.aaa.com/agent-office-locations/ca/eureka/aaa-eureka-branch,,"1470 Broadway St, Eureka, CA 95501",4.3,365,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Eureka%20Branch&query_place_id=ChIJoWhfc31V0VQRynZZIR2aZho
AAA Berkeley Branch,(510) 898-7600,https://mwg.aaa.com/agent-office-locations/ca/berkeley/aaa-berkeley-branch,,"1775 University Ave, Berkeley, CA 94703",4.3,356,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Berkeley%20Branch&query_place_id=ChIJ36KHMJh-hYAR34R5-11TpB8
Reveal Skyline Apartments,(210) 321-9690,https://revealskyline.com/,,"16735 La Cantera Pkwy, San Antonio, TX 78256",4.2,338,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Reveal%20Skyline%20Apartments&query_place_id=ChIJK3MmS5llXIYRNRaFlqJn5NM
Ridgeline at Rogers Ranch Apartments,(210) 361-5589,https://www.ridgelinerogersranch.com/,,"3231 N Loop 1604 W, San Antonio, TX 78257",4.2,333,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Ridgeline%20at%20Rogers%20Ranch%20Apartments&query_place_id=ChIJkaOod2FhXIYRlz3EtWODZCQ
Ridge on Charleston,(702) 710-0444,https://www.ridgeoncharleston.com/?switch_cls[id]=98979&utm_source=google%20-%20entratammb&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,,"3040 E Charleston Blvd, Las Vegas, NV 89104",3.6,329,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Ridge%20on%20Charleston&query_place_id=ChIJRy247qfEyIARY0b5UQJBubQ
Lirio,(833) 693-4159,https://www.livelirio.com/?utm_source=googleorganic,,"8638 Huebner Rd, San Antonio, TX 78240",4.1,327,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Lirio&query_place_id=ChIJ6UB8gWVnXIYRErAl07x9rGI
Marquis Cresta Bella,(855) 758-6404,http://www.marquiscrestabella.com/?utm_medium=organic&utm_source=google&utm_campaign=gbp-website-button,,"20202 Cresta Avenida, San Antonio, TX 78256",4.4,305,Apartment rental agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Marquis%20Cresta%20Bella&query_place_id=ChIJr5aohLRlXIYRqu6UmEd-SLA
Boardwalk Research Luxury Apartments,(210) 880-2813,https://www.boardwalkresearch.com/?ilm=obl&utm_source=gmb&utm_medium=organic,,"5503 Research Dr, San Antonio, TX 78240",4.4,296,Apartment rental agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Boardwalk%20Research%20Luxury%20Apartments&query_place_id=ChIJeUtW6zZnXIYRW_kCj0_4HjI
AAA Clovis Herndon Avenue Branch,(559) 323-5400,https://mwg.aaa.com/agent-office-locations/ca/clovis/aaa-clovis-herndon-avenue-branch,,"900 Herndon Ave, Clovis, CA 93612",4.7,292,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Clovis%20Herndon%20Avenue%20Branch&query_place_id=ChIJe80wAZ9clIARMJ4ycgAl-08
AAA San Rafael Branch,(415) 488-2900,https://mwg.aaa.com/agent-office-locations/ca/san-rafael/aaa-san-rafael-branch,,"99 Smith Ranch Rd, San Rafael, CA 94903",4.2,291,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20San%20Rafael%20Branch&query_place_id=ChIJSyIOtSGYhYAR-gvxK0tNkkE
Easton Apartments,(210) 903-5987,https://www.eastonluxuryliving.com/?utm_knock=g,,"6033 De Zavala Rd, San Antonio, TX 78249",3.9,289,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Easton%20Apartments&query_place_id=ChIJZyGaHOVmXIYRL8MKqRRQ1cI
Standard 5 & 10 Ace and Stan's Kitchen,(415) 751-5767,http://www.standard5n10.com/,,"3545 California St, San Francisco, CA 94118",4.5,281,Hardware store,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Standard%205%20%26%2010%20Ace%20and%20Stan's%20Kitchen&query_place_id=ChIJ5dJt_TOHhYAR6Su_2gVjw0U
AAA Menlo Park Branch,(650) 798-3200,https://mwg.aaa.com/agent-office-locations/ca/menlo-park/aaa-menlo-park-branch,,"515 El Camino Real Ste 120, Menlo Park, CA 94025",4.3,278,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Menlo%20Park%20Branch&query_place_id=ChIJzc6Uqj67j4ARYvYpII3QW8g
AAA Monterey Branch,(831) 645-1900,https://mwg.aaa.com/agent-office-locations/ca/monterey/aaa-monterey-branch,,"53 Soledad Dr, Monterey, CA 93940",4.5,278,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Monterey%20Branch&query_place_id=ChIJZ-lGbIHmjYARCfhYh3dUc8E
Boulder Creek Apartment Homes,(210) 591-1989,http://www.bouldercreekluxuryapts.com/,,"12330 Vance Jackson Rd, San Antonio, TX 78230",4.5,253,Apartment complex,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=Boulder%20Creek%20Apartment%20Homes&query_place_id=ChIJm2f-pypnXIYRFVzcjiv7xcw
AAA Southwest Las Vegas Branch,(702) 577-9120,https://mwg.aaa.com/agent-office-locations/nv/las-vegas/aaa-southwest-las-vegas-branch,,"6440 S Rainbow Blvd, Las Vegas, NV 89118",4.4,245,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Southwest%20Las%20Vegas%20Branch&query_place_id=ChIJeaNzXvfHyIARkzlQdlQ6eT0
"A-Tex Above Ground Pools, Spas, & Billiards",(210) 653-1566,http://www.atexpools.com/,,"9323 Perrin Beitel Ste 108, San Antonio, TX 78217",4.7,243,Swimming pool supply store,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=A-Tex%20Above%20Ground%20Pools%2C%20Spas%2C%20%26%20Billiards&query_place_id=ChIJHYQHjEyLXIYRsGrNWa1yMMc
AAA West Lake Mead Branch,(702) 577-9218,https://mwg.aaa.com/agent-office-locations/nv/las-vegas/aaa-west-lake-mead-branch,,"7550 W Lake Mead Blvd # 1, Las Vegas, NV 89128",4.4,236,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20West%20Lake%20Mead%20Branch&query_place_id=ChIJbc7pKD3AyIAR39pWV7ZG1Dk
AAA Milpitas Branch,(408) 635-0100,https://mwg.aaa.com/agent-office-locations/ca/milpitas/aaa-milpitas-branch,,"607 E Calaveras Blvd, Milpitas, CA 95035",4.3,228,Insurance agency,Service & Maintenance,https://www.google.com/maps/search/?api=1&query=AAA%20Milpitas%20Branch&query_place_id=ChIJWWopMirJj4ARUXIDHYXbFBM
